Title,Date,Rating,Thumbs_up,Thumbs_down,Description
Where's Charlie?,"Dec 12, 2019",1,8,2,"Kutcher has done good work, but, he absolutely blows in this. Not his fault...Charlie Sheen is a tough act to follow and the producers should just have sucked it up and got him back."
"Laid back fun and racked with potential, Sheen finally gets a chance to shine","May 4, 2004",N/A,51,42,"Network: CBS; Genre: Sitcom; Average Content Rating: TV-PG; Classification: Contemporary (star range: 1 - 4);

Season Reviewed: 2+ seasons

Bachelor, womanizer and commercial jingle writer Charlie Harper (Charlie Sheen) sees his quite existence set slightly ajar when his straight-laced, now divorced brother, Alan (Jon Cryer), and 10 year old nephew, Jake (Angus T. Jones), move in. Before I begin, let me point out that my description of the show is accurate to it's attitude. That's the first sign that we're in territory that isn't entirely clichés of the standard sitcom. In another series Charlie's world would have been ""rocked"" or ""turned upside down"" with the arrival of a child. The episodes would have written themselves as the task of parental responsibility creates wackiness on autopilot that the show could have coasted on for at least a season. But 'Two and a Half Men' is such a laid back series that, much like it's comic lead, the show is more inclined to slap on a wacky Hawaiian shirt & mismatched shorts, put up it's sandal-wearing feet and shrug off these conventions as the boring trite that they are.

'Two and a Half Men' is series that centers on characters that are financially secure, generally without life's pressure and have so little to do from day-to-day that they get entangled in goofy frivolous minutia. I like this type of show. It's the epitome of simple TV escapism but without stooping to stupid 'Friends' shenanigans. 'Men' goes even beyond that. It's an unabashed superficial male fantasy where it's heroes live on the beach, drink margaritas and get to hang out with a kid and then get to shuttle him off to his real parents. The show is more concerned with getting Sheen some on screen action than it is any plot-point that goes form A to C in 30 minutes. The episodes flow along with a loose idea in them, but have more of a day-in-the-life feel. It's the type of feel that put the tombstone on the head of this year's ABC effort '10-8: Officers On Duty', but in a sitcom where nothing is at stake, it works well.

This style can be hit-or-miss for the show. It's more a playground for the actors than any storytelling device. When it's working, such as in the Prudence episode or an early episode where the brothers get drunk and spend the whole time planning to tell off their mother (Holland Taylor, 'The Practice') only to chicken out on her doorstep, 'Men' sings like a classic screwball comedy. When it isn't, there isn't a story to back it up and everything can fall apart.

Fortunately, Creator and sitcom writer-for-hire Lee Aronsohn ('Cybill') has put together a solid cast to sell this stuff. After an impressive performance taking the reins from Michael J. Fox on 'Spin City', it should have been a no-brainer to give Charlie Sheen his own series. Sheen again proves he's one of the better and more underrated comic actors on the tube. In true 'Odd Couple' style, Cryer is terrific as Sheen's uptight opposite although we don't get to see his gift for physical comedy as often as we should. The two of them could have held the show together without the insertion of young Jones. But, once again straying from convention, Jones doesn't play the insufferable ""cute kid"" role. A big grip I have about the show is the placement of the kid. There's something creepy about a 10-year-old kid put in the middle of all the sexual escapades.

I've saved the best for last. The single best and most original comedic idea contained in 'Two and a Half Men' is the character of Rose. In an all-out performance by Melanie Lynskey, Rose is a heart stealer. That great mix of funny and creepy. I can only imagine the writer's room where somebody pitched the idea that Sheen's character would have a female stalker and that she was going to be a major character. And that she would spend entire scenes standing on the deck looking through a window.

* * ½"
Only the Charlie Sheen Series Were Brilliantly Funny,"Jul 6, 2017",10,5,2,"Charlie Sheen Funny Aston Kutcher Not!

As others have said it just doesn't work without Charlie Sheen, it was his characters interaction with Jon Cryer, Angus T. Jones and the others that made this one of the best comedies ever made.

So .. Apart from when Charlie Sheen left I give this a 10

The writing, casting and just about everything about 2 and a half men was just brilliant. One of the few modern laugh out loud comedies where every character worked and you liked.

Some episodes and even certain scenes make me laugh over and over again, even though I know what's coming. April Bowlby as Kandi was very funny and the show would have worked better if they continued with her and Alan getting back together. Holland Taylor is perfect as Evelyn and Conchata Ferrell brilliantly funny. Jake played by Angus T. Jones is a great character, but especially in the earlier series when he was young. As he grew older the character didn't work as well in my opinion. Melanie Lynskey as Rose was an amazing character that could come out with one liners that were truly funny. Ryan Stiles Herb Melnick is so funny that a show with himself and Judith played by Marin Hinkle would have been better than the Aston Kutcher nonsense. Kelly Stables Melissa was another genius comedic character and the 'Don't give me no no' scene is still funny after seeing it many times. Martin Mull as pharmacist Russel 'What are you a cop?' was also brilliant. Funniest line ever was when Alan asks Kandi who is complaining of toothache 'when did you last see a Dentist?' to which she replied 'Alan I see people all the time, they don't always tell me what they do' Genius! So amazing series, brilliant cast and top notch writing ... Until the Aston Kutcher character comes along. Not saying it is the actors fault but I cannot even watch the post Charlie Sheen version of 2 and a half men."
Let's be honest,"Dec 27, 2018",7,2,2,"It seems that most people who review the show downvoted it after Sheen left, saying the show became s*** after that. I think that's not fair. First, I highly doubt that those people ever sat down and watched more than 1 or 2 episodes of season 9-12. Second, let's be honest: Even with Sheen, the show was already losing A LOT of quality! It started in season 3 where some episodes already felt kind of like filler. Season 4 and 5 were even worse in that matter(especially that dreadful Teddy saga and the highly overrated CSI-crossover episode!). Season 6 and 7 were slightly better, bringing back some characters or adding new ones and new scenarios(with Jake being a teen now). But it also added quite a few holes in the story/continuity.

Judith's parents: We see them in season 1. We see her mom again in season 7 and it's clearly a different actress. It's said that her husband suffered a stroke 12 years ago, yet he seemed fine in season 1. So did she btw for an alcoholic and pill-popper. Same happens with Mia's parents. How lazy is it to cast two different dad's within just 2 season?

Chelsea: We see her in the pilot. We see her as a one night stand in season 4 or 5. Then she's just written into the show without any real introduction as Charlie's new love interest. I guess I could live with all that. But then... She is engaged, yet leaves Charlie to date another guy. When it doesn't work out, she comes running back, only to be mad at him for also being with someone else. There is never any conclusion as to what exactly happened to them. Last we saw in season 7, they were still engaged and had a wedding coming. Only that she lived with her dad. Then season 8 comes along and...where's Chelsea? She just disappeared and we never hear anything about her or what happened! So because Charlie crashed a police car at the end of season 7, that's it? LAZY!

Larry: The weird, dumb guy that Lyndsey is ""so in love with""(despite thinking he's a moron, but hey, he's got money and his own house). At the end of season 11, Walden pushes him off his deck after accidentally spilling the beans to him. Yet in season 12, it seems he suffered amnesia, cause he's at the hospital with Alan and doesn't seem to mind that Alan was cheating on him all this time.

For a show that used to make some good points in continuity with characters like Miss Pasternak or the pizza guy, all this seems pretty lazy and amateurish.

Then there's the misogyny:

Two and a half men clearly seems to be a show that wants you to hate women. Maybe the creator has some issues with them, I don't know. I don't mind that per se, but if you look at the way the guys are treated and how many double standards the show has, it's really ridiculous. Judith starts that with her enormous alimony AND child support(does she ever work?) and unfair expectations to Alan. Not once does any woman on that show ever pick up any cheque or pay for anything as far as I can remember. They constantly try to change their men(Mia, Chelsea, Walden's ex wife, Zoey, Melissa, even Celeste), but wouldn't do the same for them. They're often shown as alcoholics, greedy or both. Especially in the case of Lyndsey. We all know that Alan is supposed to be a loser who can't be picky. But is she really such a prize? She drinks. She lies. She cheats on Alan constantly. She throws him out of her house for being honest while the only reason he was this honest was cause he caught her lying/hiding things. Then she cheats again, lies again, ruins Alan's wedding and life. And yet Alan keeps chasing after her and everyone always tells us ""what a great woman she is"" and how ""Alan doesn't deserve her"". From all the women Alan dated, I'd have rather seen him get married to someone like Melissa who at least seemed somewhat caring for the most of it. Lyndsey would have deserved to live alone with nothing but her booze.

The show really was carried by Alan/Cryer through most of it. The whole ""I'm drinking, sleeping around and afraid of intimacy"" shtick with Charlie had gotten kind of old already around season 4. Maybe if they would have dared to let Charlie marry Chelsea, who knows...we don't know what was planned for season 8 or 9 if he wouldn't have been fired. But a lot of the jokes could have worked with either one of them. Example: Zoey's daughter sleeps over in Alan's room. She makes Walden(think Charlie) check the closet for monsters. Walden/Charlie opens the closet, is about to say all's fine when he sees Alan's sex doll and shudders and quickly closes the closet again. Ava is satisfied and says she won't have any nightmares tonight, to which Walden/Charlie replies ""I'll have some for sure"".

It works, because it's basically at Alan's expense. The same goes for most of season 9-12. The best episodes usually include the rest of the characters that sadly were dropped for the most of it(Judith, Herb, Jake, Berta). I liked the idea of adding Charlie's daughter and especially the character of Barry. Rather than trying to do a reboot of season 1 with that little foster kid(I really hated him, sorry, he was just annoying), they should have tried to go with Barry. He really added some nice jokes to the show and was like a better version of Jake, who, let's be honest seemed to show that he's not that good an actor, once he reached a certain age.

All in all, I do like the show, but there surely was the potential for a lot more if they would have had better continuity, maybe fewer episodes and made the whole show a little less misogynistic.

But it definitely isn't fair to rate it 1/10, just because people didn't like Ashton. I won't say he is that good/that bad. I continued to watch for Alan and guys like Herb or Barry and to some extent Jake, his grandma or Judith. Walden didn't bother me and some of his storylines were quite good(such as Zoey) and were basically like one Charlie could have had.

People should definitely give the show a little more credit and not just complain about Sheen. Let's face it, as fun as it was with Sheen, the show was already on a downslope even with him and a lot of the stuff in season 4-8 wasn't any better than in season 9-12."
"awesome (with Charlie only , not with Ashton )","Mar 23, 2017",10,5,2,"who doesn't wish to be charlie? He has it all, money, looks, slickness, girls AND is never stressed out never worried about anything !!!!

The show is just pure and plain funny, simple humour, dark humour, complicated humour, naive humour, cute humour, it has it all, I have watched all the seasons several times and I still laugh as if it was the first time.

They should have stopped the show when Charlie left, the seasons with Ashton are simply stupid, boring and dull, nothing compared with the real two and half men with Charlie Sheen."
It doesn't work,"Mar 30, 2021",6,2,2,"The show ends after Charlie. It might as well called ""A half man"" because it just isn't the same without him. It's not fun, the jokes aren't funny and the show is boring. It's a different show. Season 1-8 8/10. After it 4/10."
Two and a Half Men: Season Nine,"Oct 28, 2012",10,5,2,"It is a damn shame this gem of a sitcom came to its bitter conclusion with the death of Charlie Harper. I am sure something could have been done to ease the tensions between Sheen and the producers so that everyone could have remained in their element. Adding Kutcher to the mix not only killed off Sheen's character, but it also killed one of the best sitcoms on American television. Kutcher is a lousy actor in just about every direction and was a bad choice for a replacement. Sheen cannot be replaced-simple as that! I have stopped watching it because it hurts too much to look at the cast that makes up the Harper family and their quirky friends degrade themselves. It is NOT FUNNY ANYMORE! The stories are scattered and the dialog is stupid. Having Kutcher strip every now and then just for laughs is just plain vulgar. Please watch seasons 1-8 and leave well enough alone. It's best to remember this show for the brilliant comedic talent that entertained us loyal fans for eight terrific years."
"A definite guilty pleasure, one just can not help but tune in to this laugh-a-minute generator","Mar 2, 2007",7,3,5,"Charlie (Charlie Sheen) has a house on the beach, near LA. His income from a choice job in the music industry has granted him the great digs and the ability to always have a woman on his arm. However, his brother, Alan (Jon Cryer), a chiropractor, had the rug pulled from under him by a nasty divorce. Having no where to go, Alan and his young son are ""temporarily"" bunking with Charlie. But, is Charlie's carefree lifestyle really a good role model for Alan's son? And, what happens when their Mommie-Dearest mother (Holland Taylor) decides to drop in from time to time? This show is a laugh-a-minute generator for those who can put aside their scruples for a short while. Sheen's character really is rather despicable; he drinks, he chases women, he cheats, etc. But, his dry wit is just infectious. So, too, is Cryer's Alan, a somewhat priggish loser who nevertheless, makes his audience mirthful. Add in a comic little boy, a no-nonsense housekeeper, and a mother from hell and the result is a true guilty pleasure. If you have a strong moral agenda, no, please do not turn into this show. You won't find it humorous and you will be offended. But, for those who like their funnybone tickled and can keep a more open mind, this show is giggles on top of giggles."
"30 minutes of poor forced ""comedy""","Sep 14, 2007",1,50,36,"Charlie Sheen is a fairly good actor in Spin City, Loaded Weapon, and Scary Movie 3. Do not let that fool you when watching 2.5.

Everything in the show is predictable, cliché and fairly repetitive. Every episode also seems to follow the ""scooby doo"" plot line. Soon as you figure it out, this show is all down hill from there. I managed to pick up on it on the first couple episodes while waiting for Family Guy... I've always deemed the show as a low quality and poor comedic 30 mines, so I've never bothered to view it until it was plopped on our local ""my 29"" station.

There is nothing comical about it. After every ""funny"" line is said, they wait to throw in false laughter and wait for people at home to absorb what was just said in HOPE that they laugh.

To conclude it, its the same old same old, except there isn't a gay guy living with a straight guy like we've seen in previous sitcoms. Same plot lines, same poor jokes, just with 2.5 straight ""men""."
Excellent until there's Charlie,"Aug 18, 2019",10,5,2,This show is very good until there is Charlie Harper.It's is called character assassination.Charlie Sheen is gem of a man.And the 10 rating is for the Charlie Sheen
Not so entertaining now...,"Jan 22, 2013",6,2,3,"10 stars for first nine seasons when Charlie harper (Charlie Sheen) was there.... But now in his absence the show seems to have lost its soul. I can't see a tech geek replacing Charlie harper and more over there are no beautiful ladies..... Now we have some other good shows like modern family which I can't resist to watch. But I need to thank the whole team of two and a half Men for making such a good show and I enjoyed all the nine seasons a lot. I am mentioning again that for the first nine seasons I rate it 10 out of 10. Also Jake has joined the army and he's not what he used to be......____________________________________________ ____________ ______________ ___________________

_________________ ______________________"
Please ax this show!,"May 18, 2012",1,19,10,"I used to watch this show, when it was actually funny ! But now I can't stand it anymore, John Cryer is a show downer! He's

drained the life out of Two and a half men, he didn't deserve the Emmy's he received. For playing a leech who bleeds people dry with his self pity crap! And though Ashton Kutcher maybe cute he is not that funny either. His character is flaccid and a bit of a push over with no back bone! This was Charlie Sheen's show not John Cryer's (aka Alan cry babies)show.I can't stand him ,he is not now nor has he ever been funny. My daughter is right this show has gone down hill a lot since Charlie has left the show.I use to watch it every Monday but now I do not watch it at all. Please take it off already we are begging you. Put us out our misery ! Because this is no longer Two and a half men anymore ! It is the Four pathetic losers ! Sex , getting stoned is not good comedy ! Neither is oral gratification or excessive vomiting due to over drinking! The only time it is even remotely humorous, is when something bad happens to Alan!"
Not a likable character to be found,"Nov 26, 2007",N/A,27,19,"From sampling the variety of use comments on this show,I've noticed that the huge majority of people when moved to comment have said they liked and/or loved this show. I cannot count myself among them.

To be sure,I've only watched a handful of episodes full-through,but I've seen enough to feel like this show,while blessed with a fertile premise(divorced dad with impressionable young son moves in with his brother,a swinging bachelor,and the dad and bachelor are polar opposites),seems to be an exercise in static character progression(or lack thereof)episode after episode. Charlie(Charlie Sheen,a talented and funny guy who is playing...himself,basically)the bachelor is an unrepentant sleaze who never changes,Alan the dad(Jon Cryer,who's done better. Anyone recall ""Partenrs""? ""The Famous Teddy Z""?)is a whiny sad sack who is good at playing the role of doormat and Jake(Angus Jones,who I swear has NOT aged since 2000's ""The Kid""!)is basically a low-energy brat who seems to be laughing at his dad about as much as his uncle--and it would seem,everybody--is. The housekeeper is a burly,cynical air-sucker and Alan's ex is a clueless,emasculating buzz-kill. Throw in a revolving door supply of attractive,vapid(and not particularly moral)young ladies who fancy Charlie,and you have the formula for a show that seems more happy to run in place than add any apparent depth or dimension to the principals.

Before you think me some sort of prude,I can appreciate a sitcom that can revel in amorality--""Married With Children"" and ""Arrested Development"" come to mind--but this show seems to just hold in place,with characters that become more despicable with each episode. Producer and creator Chucke Lorre was able to cull success from ABC's ""Dharma and Greg"",and while he plants good seeds for a show here,it seems to be little more than a chance to re-hash running gags and canned laughter. I guess you can do worse than this show for comedy,but you certainly can do better,network OR cable."
"Terrific Comedy that will Make me Laugh no Matter how many Times I Watch it,","Apr 10, 2015",9,7,4,"Since my opinions of them are significantly different, I have broken this up in to two paragraphs, the first focusing on seasons 1 to 8, and the second on 9 to 12.

Two and a Half Men is a terrific television series with fantastic writing that packs in so many genuine laughs in a mere twenty minutes and an outstanding comedic cast that you can tell loved working together. The first eight seasons are some of my favourite moments in television history, the chemistry and natural comedic timing of Charlie Sheen, Jon Cryer and Angus T. Jones is fantastic, watching these old episodes will always bring a smile to my face, if they had ended on the eight season, I would have given this series a ten. My favourite character is definitely Alan, Charlie is of course well developed and superbly written, and Jake is great no matter how old gets, but Alan is a really original character, not like any other I've seen in any television series, he gets the best lines and is caught up in the most hilarious situations, and Jon Cryer's performance is undeniably gold. They aren't the only people that brought me such joy in these seasons however, I also loved the performances of Conchata Ferrell, Holland Taylor, Melanie Lynskey, Ryan Stiles, Jane Lynch, among many others.

As for seasons 9 to 12, the series totally started to jump the shark. Not necessarily in 9 and 10, I think these seasons are underrated, Ashton Kutcher did the best he could and his character was brought in to the series in a good and clever way, but the absence of Charlie Sheen is always noticeable, he was the star of the show and Kutcher simply wasn't enough to fill the void. As for seasons 11 and 12, the series completely started to nuke the fridge, this was when Angus T Jones left, they brought in Charlie's daughter to essentially become the new ""half man"", and it was simply ridiculous, the show became a parody of itself. The twelfth season is even worse, it had a very slow and repetitive storyline of Alan and Walden getting married just so they could adopt a child. The final episode however is probably the worst hour of television I've ever watched, it was very poorly written, broke the fourth wall constantly and had a brutal anti-climatic ending, and we will never know what happened to these characters in the end. Jon Cryer becomes a bigger star after Sheen leaves, no matter how much charm the series may have lost, he didn't lose any, Alan Harper was the only thing that kept me watching.

All in all, the majority of Two and a Half Men is clever and superbly written, I would recommend it to anyone looking for a good comedy series, but be prepared for disappointment in the end.

After his wife leaves him, Alan Harper is forced to move in to his millionaire brother Charlie's beach house, a place where constant partying and drinking goes on, but Charlie has to change his ways when Alan's son Jake starts visiting.

Best Performance: Jon Cryer Worst Performance: Chuck Lorre

Best Episode: The Two Finger Rule Worst Episode: Of Course He's Dead"
Wasn't the fact Mr sheen left.,"Aug 19, 2023",7,1,1,"So I watched this show a few times when Charlie sheen was on it. (Didn't care for it much, hated the theme song) I watched it finally from begining to all of the first 6 or 7 seasosns (obviosuly liked it enough to last so long). Season 9 /10 /11 ended and Ashton kushner from the 70's show was on.

Spoliers: So this drama about the show is that Charlie harper dies, some rich guy moves In blah blah get over it. Cool let's accept that move on. Now here where the show turns bad but not for the reasons you'd think (or what I'd did)

The show turns to the only remaining Main character and the same stupid annoying joke every episode. Wow you are a moocher you live with the rich guy yet ur a chiropractor with no money.

This show did not fail because of an actor leaving or being replaced. It's the fact of the same stupid lame main concept joke that just ain't funny became a beaten dead horse.... don't believe me watch it yourself."
Charlie sheen the legend,"Aug 31, 2022",10,2,0,"This rating for first 8 seasons of the show 10/10. I absolutely loved the chemistry between Charlie , Alan, taterhead and Berta . He occasional visits of rose and evelyn were hilarious too.

The rating for the last 4 season should be minus10. These last 4 seasons were single handedly carried by Jon Cryer. Walden was a pathetic character(no offence to ashton kutcher , dude tried his best but he just couldn't replace Charlie s iconic character. Tbh no one can replace Charlie harper) i still don't know why Jake was sent to Japan. Angus's performance was 100x better than Ashton's. And i still can't believe when the showmakers failed to replace Charlie with Walden they introduced Jenny. A character exactly like Charlie just with a pair of titties and don't get me started on the finale. This show ran for 12 yrs it deserved better💔. There are some fun parts in these 4 seasons like drunken lyndsey and barry.

Anyways i enjoyed the first 8 seasons of the show more than i enjoyed friends. This show would definitely be ranked much higher if the writers had never killed Charlie.

#Justiceforcharlie."
Wow what a waste,"Feb 7, 2019",7,1,1,"The only reason I would not give this show a 10 is because Charlie Sheen got fired. I really love season 1 though 8 they were good but they ruined season 9 though 12. I give this show a good rating season 1 though 8. If I can say one person who I liked after Charlie Sheen got fired was Jon Cryer who plied Charlie's brother he was good and he had great chemistry with Charlie Sheen they played off each other well. But he had no chemistry with Ashton Kutcher even though I like him in this show he was not good. Angus T Jones was good in season 1 though 3 or 4 but when he got older his acting sucked and never improved her is where the show failed. 1 (Firing Charlie Sheen) 2 (Bringing in Ashton Kutcher John Stamos was considered for the roll Uncle Jesse from Full House the Full House He-Man) 3 Angus T Jones (Acting started to suck and he also said Two And A Half Men was filth He said this ""If you watch Two and a Half Men, please stop watching Two and a Half Men. I'm on Two and a Half Men and I don't want to be on it. Please stop watching it and filling your head with filth. People say it's just entertainment. Do some research on the effects of television and your brain, and I promise you you'll have a decision to make when it comes to television, especially with what you watch."" ) 4 Chuck Lorre (Ruined the show very bad he did mess around with The Big Bang Theory a little but not as bad) How I Met Your Mother is way better then this show if Charlie had stayed the show would have been much better. Charlie Sheen said he wants to reboot Two And A Half Men."
Oh the hatred!!!,"Feb 25, 2014",10,2,0,"I have been a huge fan of Two and a Half Men for over six years now. Charlie Sheen left the show and Ashton Kutcher was announced as not so much the replacement but the new big name star character in Walden Schmidt. I, like many was very unsure about the future of the show and how it would cope. I admit it did take some getting used to but after a while I started to accept the change and now see it as a breath of fresh air and still thoroughly enjoy each episode as much as the last. Even though the main star has left the backbone of the show is still there as I never saw Two and a Half Men as ""the Charlie Sheen Show"". Many familiar faces keep up appearances as well as the inevitable introduction of new cast keeping the show evolving and proving life after Charlie. One of the things I cannot believe is how much hatred there is now. Not just hatred but the vile, complete despise people seem to have. An opinion is something we have to accept and respect of other people on a day to day basis and that is part of life. I know not everyone feels this way about the new Two and a Half Men and some people do like it but the general consensus is that of the above... HATRED. My personal opinion is this is still a great show, it's quick, witty eye candy, short 20 minute bursts of switch your mind off and forget about your worries comedy which was the reason I loved the programme in the first place and the reason I still love it now. I hope it continues for a good while yet. Please, if you have never watched since Charlie left give it a chance as a new programme and enjoy the old episodes as well. There is still comedy gold in these new episodes and once you find it you will wonder why you waited so long to try it."
Mindless but funny TV to feel good,"Dec 1, 2021",7,1,1,"This is the prime example of TV to watch while being on your phone.

Its funny, but mostly consists of juvenil humor. You really dont have to know every nuance about the characters or every other episode to get its humor.

But nobody can deny the dip in quality with time. They tried to mix it up after firing Charlie Sheen and replacing him with Ashton Kutscher.

I wouldnt go as far as many people, to say that this show died with Charlie, because there have also been some great moments and jokes afterwards. I especially liked the references to technology.

I feel like what ruined this show wasnt the writing after season 8, but the sudden turn this show took and the way the parted with Sheen. He simply left to big of a whole which was impossible to fill.

Nervetheless its pretty funny and also has a huge rewatch potential, theres just something missing."
Two and a half Manginas since Sheen left,"Apr 12, 2012",1,13,6,"I gotta say, I am really disappointed. Since Charlie Sheen left, this show has gone down the toilet. It was once about two opposite types of men in the current society, it is now about what kind of men fit women's desires It was once about the terrible but still done task of drinking whiskey, it is now of drinking tea with their legs crossed. This is not supposed to be a serious show. It used to mock reality but now it is a Mangina guide for our future male generations. And the worst part, wait for it. It is not funny. This was one of the only sitcoms that stepped out of the comfort zone in a cozy way.

Now they introduced an overweight lesbian womanizer who can supposedly make a girl straight girl sleep with her but not with Walden. End this show before it gets completely destroyed."
Best sitcom,"Mar 29, 2020",10,2,0,"I would recommend a sitcom lover to watch the show for its sheer brilliance. Watch it for the epic one liners, Charlies' charisma, Charlie's and Alan's chemistry, Jake's innocence (till he was a kid), Berta and all the super hot ladies. However, the show has lost its Sheen (Literally) after Charlie quit it."
Near perfect first 8 seasons! Last 4 bring it down soo much.,"May 21, 2022",7,1,1,"Season 1: 8.1/10 Season 2: 8.2/10 Season 3: 8.5/10 Season 4: 8.4/10 Season 5: 8/10 Season 6: 8.7/10 Season 7: 8.5/10 Season 8: 8.3/10 Season 9: 7.2/10 Season 10: 6.8/10 Season 11: 6/10 Season 12: I'm crying. 3/10.

Don't be fooled by 7/10, this show is definitely my favourite comedy in it's prime.... By far! But after season 8 it just dipped so much! For some it might still be good but for most it's not.

For people looking for something to watch this show has amazing seasons for 8 years straight! So I suggest watching it!"
"Let's git it on! Ha, ha, ha!","Apr 20, 2009",1,58,47,"Charlie Sheen has led a sex-charged private life – even openly dating a porn star for a time (Ginger Lynn). -- so why not star him in a show about a sex-crazed sex addict? Haw, haw, haw! What's funnier than sex addiction in the age of AIDS! Haw, haw, hee, hee! Charlie is a good-lookin' guy so all the good-lookin' ladies can't help but jump into bed with him! HA! And they're all perfect, shallow, one-dimensional hot chicks who just can't say ""no"" – haw, haw. And, of course HE can never say ""no"", can he? Haw, haw, haw – no way -- no matter how hard he tries – haw, haw, haw, haw! And get this -- Charlie's brother is not so good-lookin' -- and he can never manage to get it on with anyone at all!!! Hooooo -- is that funny or what? What's funnier than that? Haw, haw, haw, haw, haw! But that's not all -- the brother's got a young son who might possibly be disturbed by all the sex going on  But no – the stone-faced little kid knows all about sex and he is way cool with it! That's so funny – haw, haw -- the kid already knows everything there is to know about sex! And there's more ... Charlie's mom is old -- but she's still hot for sex all the time, too! Can things ever get any funnier than this? Non-stop sex – and nobody ever even thinks about getting AIDS! Haw, Haw, Haw! Is this still CBS' top show? Haw, haw, haw, haw, haw!"
one of great comedy shows.,"Aug 8, 2013",N/A,3,0,"Well this is series for those who like simple effort less comedy. Well it was the best till Charlie sheen was in it ,its not that the show was running entirely 'cause of him but its because they have not been able to balance it with adding Ashton Kutcher into it.Many people debate between how i met your mother and two and a half man and all have different views but i think i'll be biased too because i find how i met your mother to be crap if in terms you comedy and plus the only interesting character in the series is barney and guy who is telling his kids about their mother sucks big time.well two and a half man is show to see I'm sure you'll see it over and over trust me i myself have seen till eight seasons like 5 times."
Funny Show...,"Jun 30, 2023",8,2,0,"I remember watching this show while I was growing up thinking it was the funniest thing ever even though 99% of the jokes were going over my head. Recently though now that I'm in my 20s I decided to rewatch Two and a half Men and by god I think this show is probably the funniest show ever to air besides Seinfeld. The only real issue I have with Two and a half Men is that I really wish they would have ended the show when Charlie Sheen was fired. Don't get me wrong Ashton Kutcher is a funny actor but his presence in Season 9-12 felt forced and him being casted changed the entire show's dynamic.

I also hated how they made Alan seem more and more pathetic each episode. Alan is a completely different character from season 1-8 than season 9-12. I honestly prefer Alan from the first eight seasons.

The way I see it they should have either stuck it out with Charlie or they should have ended it. Don't get me wrong there are some good laughs between season 9-12 but nothing compared to what Charlie Sheen brought to the table.

I heard now that Chuck Lorre and Charlie Sheen are getting along we might see some sort of Two and a half Men reboot?! I honestly thing that would be great but only if the original cast returns in full. The only unfortunate person that couldn't return would be Berta as she passed away in 2020. However I definitely feel a reboot or revival could work. Maybe even include Ashton Kutcher somehow?!?!

I definitely recommend Two and a half Men. Enjoy!"
Who's gonna bring the sluts with charlie dead???,"Sep 30, 2013",7,1,1,"I've been watching this show for like a year and a half now, and I think it rocked with charlie in it. Without Charlie it's down to zero. The director made a mistake in doing it so. Alan, Jake and Walter are a good team but with charlie it was best. I Mean who is gonna bring sluts to the beach house with charlie dead. Walter?? well i don't think so.

Now 11th season is coming up and i hope that it's better then the last one. Well best of luck to the New team and Good Bye to charlie.I saw Charlie as the image of two and a half men.

Walter is nice guy, but not as good as good as charlie (No Offence), Two and a half men was my most favorite show with charlie in it. now it ain't now that place is taken by Game of Thrones"
"Two and a Half Men - 1 man + 1 man - 1/2 man + 1/2 man = 2,5 Men","May 28, 2024",9,2,0,"After rewatching Two and a Half Men, it has opened my eyes. Originally, I was one of those who thought that Two and a Half Men was best with Charlie Sheen and that no one could replace him. As I watched the series, I could clearly see that Charlie Sheen began to have serious problems. The question then was whether Ashton Kutcher could fill Sheen's shoes. In my opinion, this is something Kutcher manages to do.

One can see that Two and a Half Men as a series develops over time. The series begins as a funny and cozy sitcom that gradually becomes more mature and features more coarse humor. There is a dynamic development in the relationship between Alan and Charlie, and we see an evolution in each of them. In the series, we also follow Jake's growth from a little boy to a grown man.

The TV show has provided many good memories and joy over the years. Even though the concept started to become quite worn out towards the end, the series managed to keep the humor at its peak until the very end."
Over after Charlie,"Apr 10, 2021",7,1,1,I like Ashton in a lot of things but this show is nit one of them.
Nothing speical,"Mar 18, 2021",6,1,2,"CHARLIE : The whole concept of Charlie being some kind of a pick up artist makes no sense at all,he is pretty old (38 in first episode),he is slightly below average looking for his age,he dresses cheap,and he doesn't have charisma for picking up chicks.Barney Stinson is 1000x better character in every way,he is much better looking,he is in late tewnties,he is dressing nicely and his charisma for picking up chicks and his charisma in general are waaaaay better. Charlie is being mean to his younger brother,he is talking down to him and he is making fun of him,while he is just slightly less louser than him.That is like basketball player who scored 3 points makes fun of another player in his team who has scored 2 points.The whole show he is behaving like some lazy working class guy,but he is acctualy rich and can afford prostitutes that cost 2000 dollars per night.Another nonsense.

JAKE : Jake is really funny and cute in first two or three seasons.When he started going to high school he started behaving like typical jackass teenager who will end up working in McDonalds.

BERTA : She is a typical 55-ish year old fat suburban woman that works as a maid.Her jokes are on point for this kind of a show and her character doesn't have any fllows.In fact,I think she is the best written character in the show.

ALAN : He is more educated and works more than Charlie but yet he has less money,.He is pretty clumsy but he gets laid pretty often with girls that are younger and much prettier than him.

There is no character development in the whole show,except for Jake. I would classify humor in this show as ""childish"",but on contrary the humor in HIMYM I would classify as ""adaultish"" By my standards this is an average show 6/10. (Seasons 1-8)

I watched the first two episodes of season 9,and I would rather watch paint dry than continue."
